RegionID;Title;RegionDSID;RegionCodeGOST;RegionCodeGibdd;;;;;;;;;;;;;;;;;;
1;Алтайский край;5;RU-ALT;22;СФО;;;;;;;;;;;;;;;;;
2;Амурская область;1;RU-AMU;28;ДФО;;;;;;;;;;;;;;;;;
3;Архангельская область;3;RU-ARK;29;СЗФО;;;;;;;;;;;;;;;;;
4;Астраханская область;8;RU-AST;30;ЮФО;;;;;;;;;;;;;;;;;
5;Республика Башкортостан;2;RU-BA;02;ПФО;;;;;;;;;;;;;;;;;
6;Белгородская область;7;RU-BEL;31;ЦФО;;;;;;;;;;;;;;;;;
7;Брянская область;7;RU-BRY;32;ЦФО;;;;;;;;;;;;;;;;;
8;Республика Бурятия;1;RU-BU;03;ДФО;;;;;;;;;;;;;;;;;
9;Владимирская область;7;RU-VLA;33;ЦФО;;;;;;;;;;;;;;;;;
10;Волгоградская область;8;RU-VGG;34;ЮФО;;;;;;;;;;;;;;;;;
11;Вологодская область;3;RU-VLG;35;СЗФО;;;;;;;;;;;;;;;;;
12;Воронежская область;7;RU-VOR;36;ЦФО;;;;;;;;;;;;;;;;;
13;Город Байконур;10;KZ-BAY;94;Город Байконур;;;;;;;;;;;;;;;;;
14;Город федерального значения Москва;7;RU-MOW;77;ЦФО;;;;;;;;;;;;;;;;;
15;Республика Дагестан;4;RU-DA;05;СКФО;;;;;;;;;;;;;;;;;
16;Донецкая Народная Республика;9;RU-DON;80;Новые территории РФ;;;;;;;;;;;;;;;;;
17;Еврейская автономная область;1;RU-YEV;79;ДФО;;;;;;;;;;;;;;;;;
18;Забайкальский край;1;RU-ZAB;75;ДФО;;;;;;;;;;;;;;;;;
19;Запорожская область;9;RU-ZP;85;Новые территории РФ;;;;;;;;;;;;;;;;;
20;Ивановская область;7;RU-IVA;37;ЦФО;;;;;;;;;;;;;;;;;
21;Иркутская область;5;RU-IRK;38;СФО;;;;;;;;;;;;;;;;;
22;Кабардино-Балкарская Республика;4;RU-KB;07;СКФО;;;;;;;;;;;;;;;;;
23;Калининградская область;3;RU-KGD;39;СЗФО;;;;;;;;;;;;;;;;;
24;Калужская область;7;RU-KLU;40;ЦФО;;;;;;;;;;;;;;;;;
25;Камчатский край;1;RU-KAM;41;ДФО;;;;;;;;;;;;;;;;;
26;Карачаево-Черкесская Республика;4;RU-KC;09;СКФО;;;;;;;;;;;;;;;;;
27;Республика Карелия;3;RU-KR;10;СЗФО;;;;;;;;;;;;;;;;;
28;Кемеровская область — Кузбасс;5;RU-KEM;42;СФО;;;;;;;;;;;;;;;;;
29;Кировская область;2;RU-KIR;43;ПФО;;;;;;;;;;;;;;;;;
30;Костромская область;7;RU-KOS;44;ЦФО;;;;;;;;;;;;;;;;;
31;Краснодарский край;8;RU-KDA;23;ЮФО;;;;;;;;;;;;;;;;;
32;Красноярский край;5;RU-KYA;24;СФО;;;;;;;;;;;;;;;;;
33;Республика Крым;8;RU-CR;82;ЮФО;;;;;;;;;;;;;;;;;
34;Курганская область;6;RU-KGN;45;УФО;;;;;;;;;;;;;;;;;
35;Курская область;7;RU-KRS;46;ЦФО;;;;;;;;;;;;;;;;;
36;Ленинградская область;3;RU-LEN;47;СЗФО;;;;;;;;;;;;;;;;;
37;Липецкая область;7;RU-LIP;48;ЦФО;;;;;;;;;;;;;;;;;
38;Луганская Народная Республика;9;RU-LUG;81;Новые территории РФ;;;;;;;;;;;;;;;;;
39;Магаданская область;1;RU-MAG;49;ДФО;;;;;;;;;;;;;;;;;
40;Республика Мордовия;2;RU-MO;13;ПФО;;;;;;;;;;;;;;;;;
41;Московская область;7;RU-MOS;50;ЦФО;;;;;;;;;;;;;;;;;
42;Мурманская область;3;RU-MUR;51;СЗФО;;;;;;;;;;;;;;;;;
43;Ненецкий автономный округ;3;RU-NEN;83;СЗФО;;;;;;;;;;;;;;;;;
44;Нижегородская область;2;RU-NIZ;52;ПФО;;;;;;;;;;;;;;;;;
45;Новгородская область;3;RU-NGR;53;СЗФО;;;;;;;;;;;;;;;;;
46;Новосибирская область;5;RU-NVS;54;СФО;;;;;;;;;;;;;;;;;
47;Омская область;5;RU-OMS;55;СФО;;;;;;;;;;;;;;;;;
48;Оренбургская область;2;RU-ORE;56;ПФО;;;;;;;;;;;;;;;;;
49;Орловская область;7;RU-ORL;57;ЦФО;;;;;;;;;;;;;;;;;
50;Пензенская область;2;RU-PNZ;58;ПФО;;;;;;;;;;;;;;;;;
51;Пермский край;2;RU-PER;59;ПФО;;;;;;;;;;;;;;;;;
52;Приморский край;1;RU-PRI;25;ДФО;;;;;;;;;;;;;;;;;
53;Псковская область;3;RU-PSK;60;СЗФО;;;;;;;;;;;;;;;;;
54;Республика Адыгея;8;RU-AD;01;ЮФО;;;;;;;;;;;;;;;;;
55;Республика Алтай;5;RU-AL;04;СФО;;;;;;;;;;;;;;;;;
56;Республика Ингушетия;4;RU-IN;06;СКФО;;;;;;;;;;;;;;;;;
57;Республика Калмыкия;8;RU-KL;08;ЮФО;;;;;;;;;;;;;;;;;
58;Республика Коми;3;RU-KO;11;СЗФО;;;;;;;;;;;;;;;;;
59;Республика Марий Эл;2;RU-ME;12;ПФО;;;;;;;;;;;;;;;;;
60;Республика Северная Осетия — Алания;4;RU-SE;15;СКФО;;;;;;;;;;;;;;;;;
61;Республика Татарстан;2;RU-TA;16;ПФО;;;;;;;;;;;;;;;;;
62;Республика Тыва;5;RU-TY;17;СФО;;;;;;;;;;;;;;;;;
63;Республика Хакасия;5;RU-KK;19;СФО;;;;;;;;;;;;;;;;;
64;Ростовская область;8;RU-ROS;61;ЮФО;;;;;;;;;;;;;;;;;
65;Рязанская область;7;RU-RYA;62;ЦФО;;;;;;;;;;;;;;;;;
66;Самарская область;2;RU-SAM;63;ПФО;;;;;;;;;;;;;;;;;
67;Санкт-Петербург;3;RU-SPE;78;СЗФО;;;;;;;;;;;;;;;;;
68;Саратовская область;2;RU-SAR;64;ПФО;;;;;;;;;;;;;;;;;
69;Республика Саха (Якутия);1;RU-SA;14;ДФО;;;;;;;;;;;;;;;;;
70;Сахалинская область;1;RU-SAK;65;ДФО;;;;;;;;;;;;;;;;;
71;Свердловская область;6;RU-SVE;66;УФО;;;;;;;;;;;;;;;;;
72;Севастополь;8;—;92;ЮФО;;;;;;;;;;;;;;;;;
73;Смоленская область;7;RU-SMO;67;ЦФО;;;;;;;;;;;;;;;;;
74;Ставропольский край;4;RU-STA;26;СКФО;;;;;;;;;;;;;;;;;
75;Тамбовская область;7;RU-TAM;68;ЦФО;;;;;;;;;;;;;;;;;
76;Тверская область;7;RU-TVE;69;ЦФО;;;;;;;;;;;;;;;;;
77;Томская область;5;RU-TOM;70;СФО;;;;;;;;;;;;;;;;;
78;Тульская область;7;RU-TUL;71;ЦФО;;;;;;;;;;;;;;;;;
79;Тюменская область;6;RU-TYU;72;УФО;;;;;;;;;;;;;;;;;
80;Удмуртская Республика;2;RU-UD;18;ПФО;;;;;;;;;;;;;;;;;
81;Ульяновская область;2;RU-ULY;73;ПФО;;;;;;;;;;;;;;;;;
82;Хабаровский край;1;RU-KHA;27;ДФО;;;;;;;;;;;;;;;;;
83;Ханты-Мансийский автономный округ — Югра;6;RU-KHM;86;УФО;;;;;;;;;;;;;;;;;
84;Херсонская область;9;RU-HR;84;Новые территории РФ;;;;;;;;;;;;;;;;;
85;Челябинская область;6;RU-CHE;74;УФО;;;;;;;;;;;;;;;;;
86;Чеченская Республика;4;RU-CE;20;СКФО;;;;;;;;;;;;;;;;;
87;Чувашская Республика —  Чувашия;2;RU-CU;21;ПФО;;;;;;;;;;;;;;;;;
88;Чукотский автономный округ;1;RU-CHU;87;ДФО;;;;;;;;;;;;;;;;;
89;Ямало-Ненецкий автономный округ;6;RU-YAN;89;УФО;;;;;;;;;;;;;;;;;
90;Ярославская область;7;RU-YAR;76;ЦФО;;;;;;;;;;;;;;;;;